Index,Source,P/C,,,,Count
130,"Patricia Beck, Detroit Free Press",Professional - press,,,,1
131,"J.C. Reindl, Detroit Free Press",Professional - press,,,,1
132,"Romain Blanquart, Detroit Free Press",Professional - press,,,,1
133,"Junfu Han, Detroit Free Press",Professional - press,,,,39
134,"Jose Carlos Fajardo, TNS",Professional - tns,,,,4
135,"Kirthmon F. Dozier, TNS",Professional - tns,,,,2
136,"(Photo: Brad Rempel, USA TODAY Sports)",Professional - usa today sports,,,,1
137,(Photo: Mike Carter-USA TODAY Sports),Professional - usa today sports,,,,2
138,"(Photo: Brian Spurlock, USA TODAY Sports)",Professional - usa today sports,,,,4
139,"(Photo: Jim Mone, AP)",Professional - ap,,,,2
140,(Photo: Al Goldis AP),Professional - ap,,,,1
141,(Photo: Ima),Professional - getty,,,,1
142,(Photo: Mike Thompson/Detroit Free Press),Professional - press,,,,2
143,Mike Thompson/Det,Professional - press,,,,1
144,Mike Thompson/Detroit Free Press,Professional - press,,,,33
145,Mike Thompson/Detroit Free press,Professional - press,,,,1
146,Mike Thompson,Professional - usa today,,,,1
147,Mike Thompson/Detroit,Professional - press,,,,1
148,Mike Thompson/DFP,                              ,,,,2
149,"(Photo: Chris Nelsen, Special to the Detroit Free Press)",Professional - press,,,,1
150,"(Photo: Ellen Creager, Detroit Free Press)",Professional - press,,,,1
151,"(Photo: Jasen Vinlove, USA TODAY Sports)",Professional - usa today sports,,,,1
152,(Photo: Regina H. Boone/Detroit Free Press),Professional - press,,,,2
153,(Photo: Detroit Free Press),Professional - press,,,,21
154,"(Photo: Justin K. Aller, Getty Images)",Professional - getty,,,,1
155,"(Photo: CHUCK KENNEDY, KRT)",                              ,,,,1
156,(Photo: Bill Laitner),Professional - press,,,,1
157,"(Photo: Stringer, Stringer - Imaginechina)",                              ,,,,1
158,(Photo: DFP/David Jesse),                              ,,,,1
159,(Photo: WARREN TODA EPA),Professional - epa,,,,1
160,(Photo: Courtesy photograph from Gilbert’s Instagam site),                              ,,,,1
161,"(Photo: Mark Kurlyandchik, Detroit Free Press)",Professional - press,,,,34
162,"Mark Kurlyandchik, Detroit Free Press",Professional - press,,,,67
163,Elaine Cromie/Special to the Detroit Free Press,Professional - press,,,,1
164,"(Photo: Liz Debeliso, Beaumont Health Photographer)",                              ,,,,1
165,"(Photo: Liz Debeliso, Beaumont Health)",                              ,,,,2
166,"(Photo: Richard Lee, Detroit Free Press)",Professional - press,,,,1
167,"(Photo: Charles Trainor Jr., TNS)",Professional - tns,,,,1
168,"(Photo: Tim Heitman, US PRESSWIRE)",Professional - press,,,,1
169,(Photo: USA TODAY Sports),Professional - usa today sports,,,,1
170,(Photo: Ann Heisenfelt),                              ,,,,1
171,(Photo: AP),Professional - ap,,,,4
172,"(Photo: Chip Somodevilla, Getty Images)",Professional - getty,,,,2
173,"(Photo: Charles Dharapak, ASSOCIATED PRESS)",Professional - press,,,,2
174,"(Photo: Jessica J. Trevino, Detroit Free Press)",Professional - press,,,,2
175,"(Photo: Associated Press, Family photo)",Professional - press,,,,1
176,(Photo: Book cover),Professional - book,,,,1
177,(Photo: Nina Subin),                              ,,,,1
178,(Photo: Angela Peterson / Milwaukee Journal Sentinel),Professional - journal sentinel,,,,1
179,(Photo: MATTHEW DAE SMITH/Lansing State Journal),Professional - state,,,,1
180,(Photo: Kirthmon F. Dozier DFP),                              ,,,,1
181,(Photo: Paul Sancya/Associated Press),Professional - press,,,,2
182,(Photo: Family Photo),Citizen - family,,,,1
183,(Photo: Larry W Smith/EPA-EFE/REX),                              ,,,,1
184,"(Photo: Adam Hunger, Adam Hunger-USA TODAY Sports)",Professional - usa today sports,,,,1
185,(Photo: Reddit),Citizen - reddit,,,,1
186,(Photo: Allie Gross/Google Images),Professional - google,,,,1
187,"(Photo: Paul Sancya, AP)",Professional - ap,,,,5
188,"(Photo: Raj Mehta, USA TODAY Sports)",Professional - usa today sports,,,,7
189,"(Photo: Christina Hall, Detroit Free Press)",Professional - press,,,,9
190,(Photo: Mark Konezny USA TODAY Sports),Professional - usa today sports,,,,1
191,"(Photo: Kirthmon F. Dozier, TNS)",Professional - tns,,,,2
192,(Photo: 247Sports),Professional - sports,,,,6
193,247Sports,Professional - sports,,,,42
194,(Photo: Jon Mills),                              ,,,,1
195,(Photo: Eric Seals),Professional - press,,,,1
196,"Justin Sullivan, Getty Images",Professional - getty,,,,1
197,josiahrock / Getty Images,Professional - getty,,,,1
198,"Brian Kaufman, Detroit Free Press",Professional - press,,,,2
199,jjneff / Getty Images,Professional - getty,,,,1
200,(Photo: NBA),Professional - nba,,,,1
201,"(Photo: Sarah Stier, Getty Images)",Professional - getty,,,,2
202,"(Photo: David Banks, AP)",Professional - ap,,,,1
203,(Photo: Jasen Vinlove USA TODAY Sports),Professional - usa today sports,,,,2
204,"(Photo: Tiffany Henderson, Tiffany Henderson)",                              ,,,,1
205,Tiffany Henderson,                              ,,,,1
206,Brandon Folsom,                              ,,,,1
207,"Perry A. Farrell, Detroit Free Press",Professional - press,,,,2
208,Special to the Free Press,Professional - press,,,,1
209,"(Photo: Steve Pepple, Detroit Free Press)",Professional - press,,,,1
210,"(Photo: Crystal A. Proxmire, Special to the Detroit Free Press)",Professional - press,,,,1
211,(Photo: Wright Wilson/For the Detroit Free Press),Professional - press,,,,1
212,(Photo: Special to Detroit Free Press/Rick Dupler),Professional - press,,,,8
213,(Photo: Olivia Bee),                              ,,,,1
214,(Photo: ShortsTV),                              ,,,,3
215,(Photo: 2001 family photo),Citizen - family,,,,1
216,"(Photo: REGINA H. BOONE, Regina H. Boone/Detroit Free Pre)",                              ,,,,1
217,Mandi Wright,Professional - press,,,,2
218,"Daymon J. Hartley, Special to the Free Press",Professional - press,,,,2
219,"GABRIEL B. TAIT, DETROIT FREE PRESS",Professional - press,,,,2
220,"ERIC SEALS, Detroit Free Press",Professional - press,,,,3
221,"ANDRE J. JACKSON, Detroit Free Press",Professional - press,,,,3
222,"MARCIN SZCZEPANSKI, Detroit Free Press",Professional - press,,,,1
223,HUGH GRANNUM,Professional - press,,,,1
224,"RICHARD LEE, Detroit Free Press",Professional - press,,,,1
225,(Photo: Maricopa County Sheriff’s Office),Professional - sherif,,,,1
226,"(Photo: Louis Lanzano, Associated Press)",Professional - press,,,,1
227,(Photo: Dale Zanine USA TODAY Sports),Professional - usa today sports,,,,1
228,(Photo: WARNER BROS. PICTURES),Professional - warner bros,,,,1
229,(Photo: Dylan Langille),                              ,,,,1
