Index,Source,P/C,,,,Count
161,Al Diaz/The Miami Herald file,Professional - file,,,,1
162,Uma Sanghvi / AP,Professional - AP,,,,1
163,Susan Stocker/South Florida Sun Sentinel,Professional - sun sentinel,,,,1
164,Forum Publishing Group,Professional - group,,,,1
165,AP Photo/Bryan Woolston,Professional - ap,,,,1
166,"Little, Brown and Company / Courtesy",Professional - company,,,,1
167,Sasha Illingworth / Courtesy,                              ,,,,1
168,Mark Randall/South Florida Sun Sentinel,Professional - sun sentinel,,,,1
169,Katherine Frey / The Washington Post,Professional - washington post,,,,1
170,Courtesy/Federal Trade Commission,                              ,,,,1
171,Jose Luis Magana / AP,Professional - AP,,,,3
172,Carline Jean / Sun Sentinel,Professional - sun sentinel,,,,14
173,Courtesy: House Judiciary Committee,                              ,,,,1
174,(AP),Professional - ap,,,,2
175,Chip Somodevilla / Getty Images,Professional - getty,,,,1
176,Phil Sears / AP,Professional - AP,,,,1
177,Win McNamee / Getty Images,Professional - getty,,,,2
178,Mohammad Nayeem / courtesy,Professional - sun sentinel,,,,1
179,Gregory Payan / AP,Professional - AP,,,,2
180,(Wayne K. Roustan),Professional - sun sentinel,,,,1
181,"Wayne K. Roustan, Sun Sentinel",Professional - sun sentinel,,,,12
182,Chris Pizzello / Chris Pizzello/Invision/AP,Professional - AP,,,,1
183,Andrew Harnik / Associated Press,Professional - press,,,,1
184,oel C Ryan/Invision/AP,Professional - AP,,,,1
185,Pembroke Pines police/courtesy,Professional - police,,,,1
186,Danny Moloshok/Invision/AP,Professional - AP,,,,1
187,Frank Micelotta/Invision/AP,Professional - AP,,,,1
188,Wine Insiders/Courtesy,                              ,,,,1
189,Via Peyton Matocha's Twitter page,Citizen - twitter,,,,1
190,(Johnny Diaz),                              ,,,,3
191,Google Street View,Professional - google street,,,,1
192,Dan Sweeney / Sun Sentinel,Professional - sun sentinel,,,,1
193,Al-hadji Kudra Maliro / AP,Professional - AP,,,,1
194,Royal Caribbean Twitter / Courtesy,Citizen - twitter,,,,1
195,Taimy Alvarez / Sun Sentinel,Professional - sun sentinel,,,,14
196,"Courtesy of Cabrera Ramos Architects, Doral",Professional - architect,,,,2
197,Wayne K. Roustan,Professional - sun sentinel,,,,1
198,Diane Rossen Worthington,                              ,,,,1
199,Sarah Rice/For The Washington Post,Professional - washington post,,,,1
200,"Joe Cavaretta, South Florida Sun Sentinel",Professional - sun sentinel,,,,1
201,"Tom Williams / CQ-Roll Call,Inc.",Professional - inc.,,,,1
202,Photos from the Miami Heat's road game against the Portland Trail Blazers.,                              ,,,,1
203,Carlos Giusti / AP,Professional - AP,,,,1
204,Will Dickey / AP,Professional - AP,,,,1
205,(Michael Laughlin),Professional - ap,,,,2
206,Jon van Woerden/Courtesy / SSMG,                              ,,,,2
207,Mark Wallheiser / AP,Professional - AP,,,,1
208,National Park Service,Professional - service,,,,1
209,Chris Hays / Orlando Sentinel,Professional - orlando sentinel,,,,2
210,Courtesy/Port Everglades,                              ,,,,1
211,(Defense Visual Information),                              ,,,,1
212,SAUL LOEB / AFP/Getty Images,Professional - getty,,,,1
213,Susan Stocker / South Florida Sun Sentinel,Professional - sun sentinel,,,,1
