Index,Source,P/C,,,,Count
187,Steven Adams | Tribune-Review,Professional - tribune,,,,1
188,Louis Raggiunti | Trib Total Media,Professional - media,,,,1
189,AP file,Professional - file,,,,1
190,TNT via YouTube,Professional - tnt,,,,1
191,John Bazemore / AP,Professional - AP,,,,1
192,AP Photo/Kyusung Gong,Professional - ap,,,,1
193,AP Photo/Marcio Jose Sanchez,Professional - ap,,,,1
194,(AP Photo/John Bazemore),Professional - ap,,,,1
195,(Jasmine Goldband | Tribune-Review),Professional - tribune,,,,1
196,Alisa Jacobson | For The Times Express,Professional - press,,,,1
197,THE MATTRESS FACTORY,                              ,,,,1
198,MACY'S,                              ,,,,1
199,Andrew Harnik/AP,Professional - AP,,,,1
200,Courtsey of WPXI-TV,                              ,,,,2
201,Tom Davidson | Tribune-Review,Professional - tribune,,,,1
202,(Al Drago/Bloomberg),Professional - bloomberg,,,,1
203,Gerald Herbert | AP,Professional - AP,,,,1
204,Bloomberg photo by David Paul Morris,Professional - bloomberg,,,,1
205,"(AP Photo/Daniel Ochoa de Olza, File)",Professional - file,,,,1
206,Renatte Signorini | Tribune-Review,Professional - tribune,,,,1
207,Lowber Volunteer Fire Company,Professional - company,,,,1
208,Tamir Kalifa for The Washington Post,Professional - washington post,,,,1
209,Twentieth Century Fox,Professional - fox,,,,1
210,Benedum Center,Professional - center,,,,1
211,Arsenal Bowl,                              ,,,,1
212,(TRIBUNE-REVIEW FILE PHOTO),Professional - file,,,,1
213,Facebook | Ohiopylestatepark,Professional - state,,,,2
214,(AP Photo/Nam Y. Huh),Professional - ap,,,,3
215,(AP Photo/Jeffrey Phelps),Professional - ap,,,,1
216,(AP Photo/Kiichiro Sato),Professional - ap,,,,2
217,Creative commons,Citizen - flickr,,,,1
218,(AP Photo/J. Scott Applewhite),Professional - ap,,,,6
219,The Washington Post,Professional - washington post,,,,1
220,"(AP Photo/Karly Domb Sadof, File)",Professional - file,,,,1
221,TLC - International,Professional - international,,,,1
222,"(AP Photo/Susan Walsh, File)",Professional - file,,,,1
223,(Richard Drew/AP),Professional - ap,,,,1
224,File,Professional - file,,,,1
225,Chris Pastrick | Tribune-Review,Professional - tribune,,,,2
226,Girl Scouts of Western Pennsylvania,Professional - pennsylvania,,,,1
227,Goodwill Industries,                              ,,,,1
228,Allegheny County Parks,Professional - county,,,,1
229,(AP Photo/Rahmat Gul),Professional - ap,,,,1
230,Charlie Neibergall | AP,Professional - AP,,,,1
231,Tyson Foods,Professional - news,,,,1
232,(AP Photo/Marc Levy),Professional - ap,,,,4
233,Alessandra Tarantino/AP,Professional - AP,,,,1
234,"(AP Photo/Lynne Sladky, File)",Professional - file,,,,1
235,Young America’s Foundation,Professional - foundation,,,,1
236,Ben Schmitt | Tribune-Review,Professional - tribune,,,,4
237,Keith Hodan | Tribune-Review,Professional - tribune,,,,1
238,"(AP Photo/Andy Wong, File)",Professional - file,,,,3
239,(AP Photo/Vincent Yu),Professional - ap,,,,2
240,"(AP Photo/Mark Schiefelbein, File)",Professional - file,,,,1
241,Calla Kessler | The Washington Post,Professional - washington post,,,,3
242,Don Ryan | AP,Professional - AP,,,,1
243,Candy Williams | Tribune-Review,Professional - tribune,,,,1
244,Submitted photo,Citizen - submitted,,,,1
245,"(AP Photo/Kevork Djansezian, File)",Professional - file,,,,1
246,Sean Stipp | Tribune-Review,Professional - tribune,,,,1
247,(AP Photo/Toby Talbot),Professional - ap,,,,1
248,(Belfast Zoo via AP),Professional - ap,,,,2
249,"(AP Photo/Alessandra Tarantino, Pool)",Professional - ap,,,,5
250,Shane Dunlap | Tribune-Review,Professional - tribune,,,,1
251,Caroline Kelley,                              ,,,,6
252,"(AP Photo/Evan Vucci, File)",Professional - file,,,,1
253,(AP Photo/Susan Walsh),Professional - ap,,,,1
254,"(AP Photo/Julie Jacobson, File)",Professional - file,,,,1
255,(AP Photo/John Locher),Professional - ap,,,,2
256,"(Christopher DeVargas/Las Vegas Sun via AP, File)",Professional - file,,,,1
257,Nam Y. Huh | AP,Professional - AP,,,,1
