Index,Source,P/C,,,,Count
235,Photo: The Washington Post / The Washington Post/Getty Images,Professional - washington post,,,,1
236,"Photo: Jae C. Hong, AP",Professional - AP,,,,1
237,Photo: Al Bello / Getty Images,Professional - getty,,,,1
238,Photo: Dustin Bradford / Getty Images,Professional - getty,,,,1
239,Photo: Frazer Bradshaw,                              ,,,,3
240,Photo: Zef Nikolla / Associated Press 2012,Professional - associated press,,,,1
241,Photo: Google,Professional - google,,,,1
242,Photo: Andrew Burton / Getty Images 2013,Professional - getty,,,,1
243,Photo: Leah Millis / The Chronicle 2014,Professional - the chronicle,,,,1
244,Photo: Steven Senne / Associated Press,Professional - associated press,,,,2
245,Photo: Mandel Ngan / Getty Images 2015,Professional - getty,,,,1
246,"Photo: Jessica Christian, The Chronicle",Professional - the chronicle,,,,11
247,Photo: Manuel Balce Ceneta / Associated Press,Professional - associated press,,,,1
248,Photo: Elise Amendola / Associated Press,Professional - associated press,,,,3
249,Photo: Sean Gallup / Getty Images 2012,Professional - getty,,,,1
250,Photo: Richard Drew / Associated Press 2013,Professional - associated press,,,,1
251,Photo: Chronicle Books,                              ,,,,1
252,Photo: Roland Li / The Chronicle,Professional - the chronicle,,,,3
253,Photo: JC Olivera / TNS,Professional - tns,,,,1
254,Photo: Rich Pedroncelli / AP,Professional - AP,,,,1
255,Photo: Win McNamee / Getty Images,Professional - getty,,,,1
256,Photo: Rich Pedroncelli / Associated Press 2018,Professional - associated press,,,,5
257,Photo: Michael Macor / The Chronicle 2014,Professional - the chronicle,,,,1
258,Photo: Max Whittaker / Prime / Special to The Chronicle 2017,Professional - the chronicle,,,,1
259,Photo: DARRYL DYCK / ASSOCIATED PRESS,Professional - associated press,,,,1
260,Photo: Mario Tama / Getty Images 2018,Professional - getty,,,,1
261,Photo: Jump Bikes,                              ,,,,2
262,Photo: John Locher / Associated Press,Professional - associated press,,,,1
263,"Photo: Andrew Harnik, AP",Professional - AP,,,,3
264,"Photo: J. Scott Applewhite, AP",Professional - AP,,,,2
265,"Photo: Carolyn Kaster, AP",Professional - AP,,,,2
266,"Photo: Doug Mills, AP",Professional - AP,,,,1
267,"Photo: Alex Brandon, AP",Professional - AP,,,,2
268,Photo: Courtesy of the Wolcott family,Citizen - family,,,,1
269,Photo: Liz Moughon / The Chronicle,Professional - the chronicle,,,,1
270,"Photo: Pablo Martinez Monsivais, Associated Press",Professional - associated press,,,,1
271,"Photo: Pete Souza, Official White House photo",                              ,,,,1
272,"Photo: Steven Senne, Associated Press",Professional - associated press,,,,1
273,Photo: Pete Souza / Pete Souza / White House,                              ,,,,1
274,Photo: White House / White House,                              ,,,,1
275,Photo: Anadolu Agency / Getty Images,Professional - getty,,,,2
276,"Photo: Mandel Ngan, AFP / Getty Images",Professional - getty,,,,1
277,"Photo: California State Parks, 2018",Professional - california,,,,7
278,Photo: Spud Hilton / The California,Professional - california,,,,1
279,Photo: Courtesy Iron Hub /,                              ,,,,1
280,Photo: Life’s Little Blessings Photography /,                              ,,,,1
281,Photo: NWS Bay Area,                              ,,,,3
282,Photo: Photos by Jessica Christian / The Chronicle,Professional - the chronicle,,,,4
