Index,Source,P/C,,,,Count
156,(Photo: Wayne McGahee III/Democrat),                              ,,,,2
157,MICHAEL CLEVENGER,Professional - journal,,,,3
158,Sam Upshaw Jr.; The Courier-Jour,                              ,,,,1
159,Michael Clevenger/The Courier-Jo,Professional - journal,,,,5
160,"Michael Clevenger, CJ",                              ,,,,1
161,"Michael Clevenger/The Courier-Journal, Michael Clevenger/The Courier-Jo",Professional - journal,,,,1
162,"(Photo: Anonymous, AP)",Professional - ap,,,,1
163,"(Photo: Matt Stone, Courier Journal)",Professional - journal,,,,3
164,(Photo: Presley Ann/Getty Images),Professional - getty,,,,1
165,(Photo: Krispy Kreme),Professional - krispy kreme,,,,1
166,(Photo: Photo by Kirby Adams),                              ,,,,1
167,(Photo: Photo courtesy of Bobby Bass),                              ,,,,1
168,(Photo: Jessica Ebelhar/The Courier-Journal),Professional - journal,,,,1
169,(Photo: Marvin Young),                              ,,,,1
170,(Photo: Matt Friedman/Tanner Friedman Strategic Communications),                              ,,,,1
171,(Photo: DON PETERSEN/AP),Professional - ap,,,,1
172,"(Photo: Halfpoint, Getty Images/iStockphoto)",Professional - getty,,,,1
173,"Kim Klement, USA TODAY Sports",Professional - usa today,,,,20
174,(Photo: Marty Pearl/Special to The C-J),                              ,,,,1
175,(Photo: CJ File photo The Muhammad Ali Center),Professional - file,,,,1
176,(Photo: Gary Landers),                              ,,,,1
177,(Photo: Matt Stone/Courier Journal),Professional - journal,,,,7
178,"(Photo: Kim Klement, USA TODAY Sports)",Professional - usa today,,,,1
179,Nikki Boliaux,Professional - journal,,,,9
180,(Photo: Gary Landers/Special to CJ),                              ,,,,3
181,"(Photo: Bill Mcdad, Bill Mcdad)",                              ,,,,1
182,(Photo: Kentucky Derby Festival),                              ,,,,1
183,Frankie Steele/Special to CJ,                              ,,,,1
184,(Photo: Metro Corrections),                              ,,,,3
185,(Photo: Metro Correction),                              ,,,,1
186,Marty Pearl,Professional - journal,,,,10
187,"Richard Mackson, USA TODAY Sports",Professional - usa today,,,,1
188,"Mark J. Rebilas, USA TODAY Sports",Professional - usa today,,,,3
189,"John David Mercer, USA TODAY Sports",Professional - usa today,,,,2
190,"Jason Getz, USA TODAY Sports",Professional - usa today,,,,2
191,"Christopher Hanewinckel, USA TODAY Sports",Professional - usa today,,,,3
192,"Robert Deutsch, USA TODAY Sports",Professional - usa today,,,,1
193,"(Photo: arinahabich, Getty Images/iStockphoto)",Professional - getty,,,,1
194,(Photo: Chris Kenning),                              ,,,,2
195,(Photo: Reviewed.com),Professional - co.,,,,1
196,"(Photo: Christopher Polk, Getty Images)",Professional - getty,,,,2
197,"(Photo: Kvein Mazur, Kvein Mazur, WireImage)",Professional - wireimage,,,,1
198,"(Photo: Jamie Squire, Getty Images)",Professional - getty,,,,1
199,"Mark J. Rebilas, Mark J. Rebilas-USA TODAY Sports",Professional - usa today,,,,1
200,"Matthew Emmons, Matthew Emmons-USA TODAY Sports",Professional - usa today,,,,1
201,"Kevin Mazur, WireImage",Professional - wireimage,,,,1
202,"Eileen Blass, USAT",                              ,,,,1
203,"Bill Sikes, AP",Professional - AP,,,,1
204,"Doug Pensinger, Getty Images",Professional - getty,,,,1
205,"(Photo: Chris Pizzello, Invision/AP)",Professional - ap,,,,1
206,"Brett Davis, USA TODAY Sports",Professional - usa today,,,,4
207,"Dale Zanine, USA TODAY Sports",Professional - usa today,,,,2
208,"Al Bello, Getty Images",Professional - getty,,,,2
209,"Christopher Hanewinckel, USA TODA",Professional - usa today,,,,2
210,"(Photo: Kirby Lee, USA TODAY Sports)",Professional - usa today,,,,1
211,AP File,Professional - file,,,,6
212,AP,Professional - AP,,,,2
213,"Harry Cabluck, AP",Professional - AP,,,,1
214,"(Photo: Lynsey Weatherspoon, for USA TODAY)",Professional - usa today,,,,1
215,(Photo: Jeff Ruby/Provided),                              ,,,,1
216,"(Photo: Chuck Cook, USA TODAY Sports)",Professional - usa today,,,,1
217,Thanksgiving.com,Professional - co.,,,,5
218,thanksgiving.com,Professional - co.,,,,4
219,"(Photo: David Goldman, AP)",Professional - ap,,,,1
220,"(Photo: Brett Davis, USA TODAY Sports)",Professional - usa today,,,,1
221,"Kirby Lee, USA TODAY Sports",Professional - usa today,,,,3
222,"TANNEN MAURY, EPA-EFE",                              ,,,,1
223,"David J. Phillip, AP",Professional - AP,,,,2
224,"John Bazemore, AP",Professional - AP,,,,1
225,(Photo: Oldham County Sheriff),Professional - county,,,,1
